what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui.internal.editor.AntEditor,1262819137531
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819152187
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819157015
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819158406
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819159421
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819163890
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819176171
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819178187
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819201437
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819202078
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819220171
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1262819223093
activated,editor,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PropertiesFileEditor,1262819223312
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819255156
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819255156
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819255250
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819376187
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819378687
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819393484
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819395218
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819397593
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819411937
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819411937
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819412000
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1262819592453
